tu_id,lo_id,lo_name,lo_q_link
1,1,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
1,2,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
2,3,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
2,4,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
3,5,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
3,6,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
3,7,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
4,8,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
4,9,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
5,10,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
5,11,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
5,12,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
6,13,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
6,14,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
7,15,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
7,16,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
7,17,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
8,18,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
8,19,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
9,20,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
9,21,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
9,22,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
10,23,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
10,24,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
11,25,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
11,26,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
11,27,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
12,28,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
12,29,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
13,30,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
13,31,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
13,32,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
14,33,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
14,34,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
15,35,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
15,36,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
15,37,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
16,38,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
16,39,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
17,40,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
17,41,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
17,42,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
18,43,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
18,44,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
19,45,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
19,46,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
19,47,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
20,48,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
20,49,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
21,50,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
21,51,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
21,52,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
22,53,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
22,54,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
23,55,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
23,56,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
23,57,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
24,58,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
24,59,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
25,60,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
25,61,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
25,62,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
26,63,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
26,64,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
27,65,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
27,66,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
27,67,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
28,68,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
28,69,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
29,70,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
29,71,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
29,72,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
30,73,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
30,74,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
31,75,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
31,76,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
31,77,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
32,78,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
32,79,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
33,80,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
33,81,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
33,82,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
34,83,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
34,84,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
35,85,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
35,86,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
35,87,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
36,88,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
36,89,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
37,90,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
37,91,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
37,92,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
38,93,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
38,94,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
39,95,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
39,96,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
39,97,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
40,98,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
40,99,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1